NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07621;1997-01-01 00:00:00;973.4;1017.6;5.2;4.4;10.1;1.5;7.6;106;9;108;21;31;31;31;31;31;;;;;0;8;5;3;0;;10;10;;;3;0;0;1;2;8;10.8;1997-01-31 00:00:00;-1.2;1997-01-01 00:00:00;18.2;1997-01-31 00:00:00;-3.9;1997-01-07 00:00:00;46.2;1997-01-03 00:00:00;16;1997-01-03 00:00:00;;;6;18
07627;1997-01-01 00:00:00;968.1;1017.9;4.6;4.7;9.9;0.6;7.1;51;7;107;25;31;31;31;31;31;;;;;0;16;4;2;0;;9;8;;;6;0;0;1;1;7;10.8;1997-01-22 00:00:00;-2.6;1997-01-01 00:00:00;17.9;1997-01-22 00:00:00;-6.5;1997-01-01 00:00:00;20;1997-01-03 00:00:00;18;1997-01-04 00:00:00;;;6;18
07630;1997-01-01 00:00:00;999.6;1018.5;6.1;4.7;9.1;3.6;8.6;60;8;62;26;31;31;31;31;31;;;;;0;9;2;2;0;;4;4;;;16;2;0;0;1;9;13.3;1997-01-22 00:00:00;-0.7;1997-01-01 00:00:00;15.8;1997-01-22 00:00:00;-3.4;1997-01-13 00:00:00;32;1997-01-03 00:00:00;23;1997-01-21 00:00:00;;;6;18
07643;1997-01-01 00:00:00;1018;1018.7;7;4;11.2;4;8.4;133;8;107;27;31;31;31;31;31;;;;;0;5;7;3;1;;2;2;;;15;2;0;0;0;1;13.5;1997-01-22 00:00:00;0.9;1997-01-01 00:00:00;15.8;1997-01-24 00:00:00;-2.6;1997-01-01 00:00:00;60.4;1997-01-08 00:00:00;24;1997-01-03 00:00:00;1;1;6;18
07650;1997-01-01 00:00:00;1014.4;1018.3;8.1;4.6;12.6;4.8;8.4;101;9;113;30;31;31;31;31;31;;;;;0;5;7;4;0;;;;;;18;1;0;1;2;2;15.6;1997-01-22 00:00:00;3;1997-01-12 00:00:00;18.3;1997-01-21 00:00:00;-2.1;1997-01-12 00:00:00;29;1997-01-08 00:00:00;22;1997-01-02 00:00:00;2;0;6;18
07661;1997-01-01 00:00:00;1002.7;1018.9;9.5;2.4;11.8;7.3;9.3;126;9;;23;31;31;31;31;0;;;;;;;8;3;1;;;;;;22;8;0;;;;13.4;1997-01-22 00:00:00;4.8;1997-01-05 00:00:00;14.5;1997-01-23 00:00:00;2.8;1997-01-05 00:00:00;53.2;1997-01-08 00:00:00;28;1997-01-03 00:00:00;4;0;6;18
07690;1997-01-01 00:00:00;1015.9;1019.1;9.1;2.8;13.2;6.7;8.7;165;10;133;22;31;31;31;31;31;;;;;;;6;6;0;;;;;;21;1;0;;;;12.8;1997-01-23 00:00:00;5.9;1997-01-01 00:00:00;16.7;1997-01-23 00:00:00;3.3;1997-01-05 00:00:00;37;1997-01-19 00:00:00;21;1997-01-03 00:00:00;2;1;6;18
07747;1997-01-01 00:00:00;1012;1017.7;8.4;3.5;11.7;5.5;9.2;50;10;69;29;31;31;31;31;31;;;;;0;2;3;1;0;;;;;;19;5;0;0;0;3;13.5;1997-01-22 00:00:00;2.3;1997-01-01 00:00:00;18.5;1997-01-22 00:00:00;-2;1997-01-01 00:00:00;15.6;1997-01-24 00:00:00;26;1997-01-04 00:00:00;1;0;6;18
07761;1997-01-01 00:00:00;1017.2;1018.3;9.3;3.8;15;5.3;9.7;47;6;149;30;31;31;31;31;31;;;;;;;5;3;0;;;;;;6;1;0;0;0;1;13;1997-01-23 00:00:00;6.6;1997-01-11 00:00:00;22.4;1997-01-23 00:00:00;1.3;1997-01-16 00:00:00;11.8;1997-01-04 00:00:00;23;1997-01-04 00:00:00;3;0;6;18
07790;1997-01-01 00:00:00;1017.8;1019.2;9.8;3;14.2;6.5;10.2;38;10;122;29;31;31;31;31;31;;;;;;;2;1;0;;;;;;9;0;0;;;;13.3;1997-01-21 00:00:00;7.4;1997-01-06 00:00:00;16.4;1997-01-15 00:00:00;3.5;1997-01-08 00:00:00;11.4;1997-01-07 00:00:00;14;1997-01-03 00:00:00;;;6;18
61968;1997-01-01 00:00:00;1010.4;1010.8;28.1;0.8;31.2;25.2;29.6;110;15;228;31;31;31;31;31;31;31;29;;;;;5;3;1;;;;;;2;0;0;;;;29.1;1997-01-21 00:00:00;26.2;1997-01-11 00:00:00;33.2;1997-01-07 00:00:00;22.3;1997-01-27 00:00:00;51;1997-01-02 00:00:00;;1997-01-27 00:00:00;11;0;11;23
61970;1997-01-01 00:00:00;1008.7;1009.7;27.7;1.4;30.4;24.8;31;581;18;178;31;31;31;31;31;31;31;22;;;;;14;14;5;;;;;;;;;0;0;1;29.8;1997-01-02 00:00:00;24.1;1997-01-17 00:00:00;33.5;1997-01-05 00:00:00;23.2;1997-01-15 00:00:00;95.4;1997-01-28 00:00:00;;;14;0;11;23
61972;1997-01-01 00:00:00;1008.6;1009.9;28.7;0.6;31.3;26.2;30.4;133;13;281;30;30;31;30;31;31;;30;;;;;6;4;0;;;;;;8;0;0;;;;29.5;1997-01-27 00:00:00;27.1;1997-01-14 00:00:00;33.1;1997-01-25 00:00:00;23.6;1997-01-13 00:00:00;35.6;1997-01-13 00:00:00;;1997-01-10 00:00:00;4;0;11;23
61976;1997-01-01 00:00:00;1008.6;1009.9;27.2;0.6;29.5;25.2;28.9;301;23;213;30;30;31;29;31;31;;16;;;;;12;8;1;;;;;;15;0;0;0;0;1;28.2;1997-01-14 00:00:00;26;1997-01-03 00:00:00;31;1997-01-13 00:00:00;22.6;1997-01-28 00:00:00;73.8;1997-01-03 00:00:00;;1997-01-03 00:00:00;0;0;11;23
61980;1997-01-01 00:00:00;1010.4;1012.9;26.1;0.7;29.2;23.3;24.8;297;18;208;0;0;31;0;31;31;;;;;;;9;7;2;1;;;;;23;0;0;0;0;1;27.8;1997-01-19 00:00:00;24.5;1997-01-22 00:00:00;32;1997-01-19 00:00:00;20.6;1997-01-01 00:00:00;111;1997-01-23 00:00:00;;1997-01-22 00:00:00;3;0;11;23
61996;1997-01-01 00:00:00;1019.6;1023.7;16.9;16.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61997;1997-01-01 00:00:00;994.5;1012.2;9.1;2.8;13.3;5.9;9.4;;;0;3;3;31;2;0;0;;;;;;;;;;;;;;;27;5;0;31;31;31;;;;;;;;;;;;;;;11;23
67005;1997-01-01 00:00:00;1009.4;1010.1;28.1;0.8;30.4;26.2;31.1;86;17;172;27;27;31;27;31;31;;;;;;;6;3;0;;;;;;9;1;0;;;;29;1997-01-26 00:00:00;26.2;1997-01-13 00:00:00;32.2;1997-01-04 00:00:00;24;1997-01-03 00:00:00;15.4;1997-01-13 00:00:00;23;1997-01-31 00:00:00;15;0;11;23
78925;1997-01-01 00:00:00;1014.7;1015.6;25.6;0.8;28.6;22.6;24.8;128;16;;;;;;;;31;0;0;0;;;10;4;0;0;;;;;28;0;0;0;0;0;;;;;;;;;;;;;;;;
81405;1997-01-01 00:00:00;1011.4;;25.1;1.9;28.5;23.1;29.4;906;27;77;31;31;31;31;31;31;30;7;0;0;0;0;25;21;5;2;;;;;21;0;0;0;0;9;27;1997-01-03 00:00:00;23.3;1997-01-17 00:00:00;31.3;1997-01-06 00:00:00;21.8;1997-01-27 00:00:00;120.6;1997-01-17 00:00:00;15;1997-01-15 00:00:00;4;0;21;12
