NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07690;2003-08-01 00:00:00;1011.8;1014.9;27.4;2.8;31.2;23.7;23;2;1;312;27;31;31;31;31;31;31;22;1;0;;;0;;;;;;;;13;0;0;;;;30.9;2003-08-05 00:00:00;24.6;2003-08-31 00:00:00;35;2003-08-05 00:00:00;20;2003-08-01 00:00:00;1.8;2003-08-25 00:00:00;19;2003-08-30 00:00:00;1;0;6;18
07747;2003-08-01 00:00:00;1010.2;1015.5;27.5;4.2;33.1;21.8;18.9;5;1;296;29;31;31;31;31;31;31;28;10;0;;;0;;;;;;;;21;0;0;0;0;1;32;2003-08-12 00:00:00;22.7;2003-08-31 00:00:00;38.2;2003-08-06 00:00:00;19.2;2003-08-04 00:00:00;4.8;2003-08-17 00:00:00;18;2003-08-20 00:00:00;4;0;6;18
07761;2003-08-01 00:00:00;1014.4;1015.5;26.5;4.1;32.2;20.3;22;28;1;353;29;31;31;31;31;31;31;29;3;0;;;1;1;0;;;;;;13;0;0;;;;28.4;2003-08-29 00:00:00;24.2;2003-08-31 00:00:00;38.9;2003-08-18 00:00:00;16.8;2003-08-01 00:00:00;28;2003-08-25 00:00:00;18;2003-08-07 00:00:00;3;0;6;18
07790;2003-08-01 00:00:00;1013.8;1015.1;28.2;3.4;33.2;23.1;22.2;3;1;340;30;31;31;31;31;31;31;31;7;0;;;0;;;;;;;;11;0;0;;;;30.8;2003-08-06 00:00:00;26.3;2003-08-26 00:00:00;37.9;2003-08-05 00:00:00;20.4;2003-08-26 00:00:00;2.6;2003-08-25 00:00:00;17;2003-08-25 00:00:00;3;0;6;18
61976;2003-08-01 00:00:00;1016.7;1018.3;23.7;1.4;26.3;21.8;20.8;29;7;105;0;30;30;29;30;18;29;0;;;;;2;;;;;;;;28;1;0;;;;25.3;2003-08-17 00:00:00;21.7;2003-08-02 00:00:00;27.9;2003-08-17 00:00:00;18.5;2003-08-02 00:00:00;7.2;2003-08-15 00:00:00;20;2003-08-04 00:00:00;;;6;18
61980;2003-08-01 00:00:00;;1020.8;20.9;2.6;25.1;17.5;15.8;67;5;210;0;31;31;30;31;31;16;0;;;;;1;1;1;;;;;;28;2;0;;;;22.8;2003-08-17 00:00:00;18.3;2003-08-02 00:00:00;26.9;2003-08-15 00:00:00;14.2;2003-08-02 00:00:00;53.4;2003-08-16 00:00:00;25;2003-08-10 00:00:00;;;6;18
61998;2003-08-01 00:00:00;1003.4;1006.9;4;2.5;7.2;1.3;6.3;57;9;109;31;31;31;31;31;31;;;;;0;8;5;1;0;0;;;;;30;10;0;;;;;;-1;2003-08-25 00:00:00;11.2;;;;;;3.8;2003-08-06 00:00:00;0;0;;
67005;2003-08-01 00:00:00;1015;1017.3;24.3;2;27.3;21.3;22.9;11;1;258;0;28;30;27;30;30;;0;;;;;1;;;;;;;;15;0;0;;;;25.3;2003-08-28 00:00:00;22.9;2003-08-13 00:00:00;28.4;2003-08-20 00:00:00;18.1;2003-08-04 00:00:00;9.2;2003-08-21 00:00:00;17;2003-08-02 00:00:00;;;6;18
78897;2003-08-01 00:00:00;1014.1;;27.7;0;31.5;23.9;28.8;131;15;210;31;31;31;31;31;31;31;31;0;0;;;9;5;0;0;;;;;2;0;0;0;0;1;28.2;2003-08-26 00:00:00;26.7;2003-08-28 00:00:00;32.3;2003-08-31 00:00:00;21.8;2003-08-12 00:00:00;24.4;2003-08-28 00:00:00;16;2003-08-25 00:00:00;7;;0;12
78925;2003-08-01 00:00:00;1013.9;1014.8;27.7;0.3;31.1;24.2;29.1;304;21;223;31;31;31;31;31;31;;;0;0;;;8;5;2;1;;;;;26;0;0;0;0;0;28.9;2003-08-19 00:00:00;25;2003-08-21 00:00:00;32.5;;;;125.6;2003-08-21 00:00:00;16;2003-08-08 00:00:00;5;;12;0
81401;2003-08-01 00:00:00;1012.9;1014;27.6;0.8;33.7;23.6;29.3;65;10;251;31;31;31;31;31;31;31;31;5;0;0;0;3;0;0;0;;;;;;;;0;0;0;28.8;2003-08-29 00:00:00;26.2;2003-08-05 00:00:00;35.2;2003-08-22 00:00:00;22.3;2003-08-16 00:00:00;24.2;2003-08-20 00:00:00;;;15;0;21;12
81405;2003-08-01 00:00:00;1012.6;1013.5;26.9;3.3;32.4;22.3;28.9;24;8;265;31;31;31;31;31;31;31;31;0;0;0;0;1;0;0;0;;;;;22;0;0;0;0;4;28;2003-08-29 00:00:00;25.7;2003-08-16 00:00:00;33.9;2003-08-24 00:00:00;21.3;2003-08-13 00:00:00;8.6;2003-08-04 00:00:00;12;2003-08-11 00:00:00;3;0;21;12
81408;2003-08-01 00:00:00;1012.5;1013.4;27.3;41.4;33.2;21.4;27.9;159;8;115;31;31;31;31;31;31;31;31;1;0;0;0;4;2;1;1;;;;;10;0;0;1;2;4;27.5;2003-08-27 00:00:00;24.5;2003-08-11 00:00:00;35.1;2003-08-26 00:00:00;20.5;2003-08-01 00:00:00;10.8;2003-08-10 00:00:00;13;2003-08-03 00:00:00;1;0;21;12
